event_time,ypred_mean,ypred_lower,ypred_upper,births,pop,pre_ban
-44,20768.034,20230.975,21292.025,21031,2129471,TRUE
-43,40176.484,39422.924999999996,40849.125,39971,4081907,TRUE
-42,105800.267,104713,106903.45,105573,10402316,TRUE
-41,117302.806,116178.875,118427.3,117244,11172186,TRUE
-40,120507.018,119366.95,121686.3,119779,11172186,TRUE
-39,123832.7,122618.775,125061.15,124289,11172186,TRUE
-38,119188.255,118017.95,120389.02500000001,119659,11186472,TRUE
-37,177710.29,175744.40000000002,179628.45,177704,17033656,TRUE
-36,174617.305,172726,176732.25,174864,17026856,TRUE
-35,178734.073,176830,180717.275,179865,17025808,TRUE
-34,188382.99,186305.625,190464.8,188507,17025808,TRUE
-33,191367.392,189376.575,193409.275,192361,17025808,TRUE
-32,183992.996,181930.40000000002,185965.4,184160,17041012,TRUE
-31,174283.658,172415.55,176128.35,173817,17120854,TRUE
-30,171699.504,169824.925,173570.25,170919,17115150,TRUE
-29,176738.99,174867.875,178618.775,176278,17116722,TRUE
-28,185444.576,183482.425,187546.125,184268,17116722,TRUE
-27,187516.273,185522.72499999998,189617.75,187618,17116722,TRUE
-26,180030.042,178025.8,182074.375,179460,17137780,TRUE
-25,172383.121,170589.47499999998,174156.325,172341,17216106,TRUE
-24,169290.689,167487.77500000002,171155.125,168888,17219436,TRUE
-23,173749.704,171906.525,175614.775,174401,17223857,TRUE
-22,182995.044,180991.775,185155.725,182326,17223857,TRUE
-21,186215.855,184168,188362.275,186176,17223857,TRUE
-20,179798.591,177868.275,181914.65,179871,17242877,TRUE
-19,170849.276,169205.975,172750.825,169777,17354498,TRUE
-18,167927.925,166259.9,169674.125,167330,17409750,TRUE
-17,170615.059,168848.875,172409.15,171750,17414496,TRUE
-16,179744.903,177693.2,181679.125,179832,17414496,TRUE
-15,181613.307,179706.3,183476.25,181577,17414496,TRUE
-14,172955.611,171015.94999999998,174871.125,173292,17433416,TRUE
-13,166176.063,164332.85,167905.32499999998,166370,17504820,TRUE
-12,164058.932,162131.85,165921.275,164641,17524398,TRUE
-11,169943.061,168025.75,171819.07499999998,170170,17534993,TRUE
-10,179262.112,177303.6,181156.05,179577,17534993,TRUE
-9,181843.809,179995.92500000002,183793,182571,17534993,TRUE
-8,174601.361,172733.90000000002,176468.175,175356,17568104,TRUE
-7,167049.993,165268.225,168915.325,165740,17688235,TRUE
-6,166126.616,164259.75,167933.575,165725,17705807,TRUE
-5,171272.193,169391.875,173053.30000000002,170803,17715500,TRUE
-4,179198.134,177264.825,181176.025,178456,17715500,TRUE
-3,184888.833,182977.925,186951.5,184580,17715500,TRUE
-2,177409.892,175451.9,179393.02500000002,178347,17749105.300535314,TRUE
-1,171707.844,169868.425,173542.225,171386,17894855.39045674,TRUE
0,167819.824,165807.57499999998,169793.625,169843,17912717.45473889,FALSE
1,169173.766,167123.925,171327.02500000002,171876,17922529.36068784,FALSE
2,180611.289,178247.75,182894.275,183035,17922529.36068784,FALSE
3,179412.851,177146.8,181624.175,182201,17922529.36068784,FALSE
4,157462.509,155509.725,159496.025,159670,15637854.060152533,FALSE
5,129429.524,127631.90000000001,131329.6,130545,13645984.419736205,FALSE
6,67150.874,65577.875,68864.125,68121,7224485.355454055,FALSE
7,61819.62,60239.725,63600.225,63673,6414824.449505103,FALSE
8,66678.946,64853.649999999994,68542.17499999999,68398,6414824.449505103,FALSE
9,65644.396,63930.975000000006,67394.02500000001,67534,6414824.449505103,FALSE
10,64052.308,62143.55,65910.2,65780,6414824.449505103,FALSE
