state,month,marital_status,births
Alabama,1,Married,2665
Alabama,1,Unmarried,2293
Alabama,2,Married,2458
Alabama,2,Unmarried,2014
Alabama,3,Married,2535
Alabama,3,Unmarried,2083
Alabama,4,Married,2587
Alabama,4,Unmarried,1970
Alabama,5,Married,2628
Alabama,5,Unmarried,2091
Alabama,6,Married,2481
Alabama,6,Unmarried,2030
Alabama,7,Married,2778
Alabama,7,Unmarried,2343
Alabama,8,Married,2894
Alabama,8,Unmarried,2324
Alabama,9,Married,2647
Alabama,9,Unmarried,2179
Alabama,10,Married,2912
Alabama,10,Unmarried,2207
Alabama,11,Married,2501
Alabama,11,Unmarried,2065
Alabama,12,Married,2773
Alabama,12,Unmarried,2243
Alaska,1,Married,486
Alaska,1,Unmarried,273
Alaska,2,Married,487
Alaska,2,Unmarried,248
Alaska,3,Married,470
Alaska,3,Unmarried,298
Alaska,4,Married,452
Alaska,4,Unmarried,251
Alaska,5,Married,498
Alaska,5,Unmarried,279
Alaska,6,Married,469
Alaska,6,Unmarried,241
Alaska,7,Married,514
Alaska,7,Unmarried,299
Alaska,8,Married,469
Alaska,8,Unmarried,301
Alaska,9,Married,460
Alaska,9,Unmarried,298
Alaska,10,Married,435
Alaska,10,Unmarried,258
Alaska,11,Married,445
Alaska,11,Unmarried,244
Alaska,12,Married,450
Alaska,12,Unmarried,259
Arizona,1,Married,3455
Arizona,1,Unmarried,3033
Arizona,1,Not Reported,15
Arizona,2,Married,3335
Arizona,2,Unmarried,2759
Arizona,2,Not Reported,10
Arizona,3,Married,3637
Arizona,3,Unmarried,2998
Arizona,4,Married,3350
Arizona,4,Unmarried,2707
Arizona,5,Married,3459
Arizona,5,Unmarried,2704
Arizona,6,Married,3306
Arizona,6,Unmarried,2699
Arizona,7,Married,3629
Arizona,7,Unmarried,3120
Arizona,7,Not Reported,12
Arizona,8,Married,3699
Arizona,8,Unmarried,3239
Arizona,9,Married,3741
Arizona,9,Unmarried,3100
Arizona,9,Not Reported,11
Arizona,10,Married,3891
Arizona,10,Unmarried,3055
Arizona,11,Married,3602
Arizona,11,Unmarried,3162
Arizona,11,Not Reported,12
Arizona,12,Married,3600
Arizona,12,Unmarried,3021
Arizona,12,Not Reported,12
Arkansas,1,Married,1624
Arkansas,1,Unmarried,1376
Arkansas,2,Married,1529
Arkansas,2,Unmarried,1255
Arkansas,3,Married,1566
Arkansas,3,Unmarried,1209
Arkansas,4,Married,1614
Arkansas,4,Unmarried,1223
Arkansas,5,Married,1626
Arkansas,5,Unmarried,1240
Arkansas,6,Married,1563
Arkansas,6,Unmarried,1186
Arkansas,7,Married,1722
Arkansas,7,Unmarried,1383
Arkansas,8,Married,1734
Arkansas,8,Unmarried,1504
Arkansas,9,Married,1737
Arkansas,9,Unmarried,1401
Arkansas,10,Married,1666
Arkansas,10,Unmarried,1278
Arkansas,11,Married,1503
Arkansas,11,Unmarried,1228
Arkansas,12,Married,1697
Arkansas,12,Unmarried,1329
California,1,Not Reported,32661
California,2,Not Reported,30955
California,3,Not Reported,33065
California,4,Not Reported,31643
California,5,Not Reported,32800
California,6,Not Reported,32212
California,7,Not Reported,34434
California,8,Not Reported,35903
California,9,Not Reported,34546
California,10,Not Reported,35099
California,11,Not Reported,32324
California,12,Not Reported,33426
Colorado,1,Married,3848
Colorado,1,Unmarried,1275
Colorado,2,Married,3799
Colorado,2,Unmarried,1196
Colorado,3,Married,4007
Colorado,3,Unmarried,1289
Colorado,4,Married,3966
Colorado,4,Unmarried,1189
Colorado,5,Married,4171
Colorado,5,Unmarried,1306
Colorado,6,Married,3902
Colorado,6,Unmarried,1273
Colorado,7,Married,4361
Colorado,7,Unmarried,1273
Colorado,8,Married,4371
Colorado,8,Unmarried,1401
