state,month,motherage,births,,
Alabama,1,15-19,278,,
Alabama,1,20-24,1155,1433,
Alabama,1,25-29,1616,,
Alabama,1,30-34,1249,2865,
Alabama,1,35-39,554,,
Alabama,1,40-44,106,660,
Alabama,2,15-19,290,,
Alabama,2,20-24,1022,1312,2745
Alabama,2,25-29,1386,,
Alabama,2,30-34,1148,2534,5399
Alabama,2,35-39,518,,
Alabama,2,40-44,109,627,1287
Alabama,3,15-19,273,,
Alabama,3,20-24,1100,1373,
Alabama,3,25-29,1431,,
Alabama,3,30-34,1192,2623,
Alabama,3,35-39,513,,
Alabama,3,40-44,110,623,
Alabama,4,15-19,236,,
Alabama,4,20-24,1050,1286,
Alabama,4,25-29,1477,2527,
Alabama,4,30-34,1180,2657,
Alabama,4,35-39,496,1676,
Alabama,4,40-44,119,615,
Alabama,5,15-19,259,378,
Alabama,5,20-24,1055,1314,
Alabama,5,25-29,1515,2570,
Alabama,5,30-34,1257,2772,
Alabama,5,35-39,529,1786,
Alabama,5,40-44,104,633,
Alabama,6,15-19,246,350,
Alabama,6,20-24,1036,1282,
Alabama,6,25-29,1388,2424,
Alabama,6,30-34,1188,2576,
Alabama,6,35-39,541,1729,
Alabama,6,40-44,112,653,
Alabama,7,15-19,308,420,
Alabama,7,20-24,1219,1527,
Alabama,7,25-29,1602,2821,
Alabama,7,30-34,1293,2895,
Alabama,7,35-39,564,1857,
Alabama,7,40-44,135,699,
Alabama,8,15-19,322,457,
Alabama,8,20-24,1163,1485,
Alabama,8,25-29,1635,2798,
Alabama,8,30-34,1360,2995,
Alabama,8,35-39,615,1975,
Alabama,8,40-44,123,738,
Alabama,9,15-19,285,408,
Alabama,9,20-24,1108,1393,
Alabama,9,25-29,1497,2605,
Alabama,9,30-34,1287,2784,
Alabama,9,35-39,544,1831,
Alabama,9,40-44,105,649,
Alabama,10,15-19,285,390,
Alabama,10,20-24,1116,1401,
Alabama,10,25-29,1630,2746,
Alabama,10,30-34,1350,2980,
Alabama,10,35-39,624,1974,
Alabama,10,40-44,115,739,
Alabama,11,15-19,240,355,
Alabama,11,20-24,1094,1334,
Alabama,11,25-29,1418,2512,
Alabama,11,30-34,1177,2595,
Alabama,11,35-39,532,1709,
Alabama,11,40-44,105,637,
Alabama,12,15-19,257,362,
Alabama,12,20-24,1163,1420,
Alabama,12,25-29,1574,2737,
Alabama,12,30-34,1322,2896,
Alabama,12,35-39,589,1911,
Alabama,12,40-44,111,700,
