state,motherrace,month,births
Alabama,American Indian or Alaska Native,1,22
Alabama,American Indian or Alaska Native,2,22
Alabama,American Indian or Alaska Native,3,21
Alabama,American Indian or Alaska Native,4,10
Alabama,American Indian or Alaska Native,5,12
Alabama,American Indian or Alaska Native,6,14
Alabama,American Indian or Alaska Native,7,23
Alabama,American Indian or Alaska Native,8,13
Alabama,American Indian or Alaska Native,9,21
Alabama,American Indian or Alaska Native,10,38
Alabama,American Indian or Alaska Native,11,21
Alabama,American Indian or Alaska Native,12,18
Alabama,Asian,1,78
Alabama,Asian,2,61
Alabama,Asian,3,72
Alabama,Asian,4,84
Alabama,Asian,5,83
Alabama,Asian,6,79
Alabama,Asian,7,89
Alabama,Asian,8,90
Alabama,Asian,9,75
Alabama,Asian,10,97
Alabama,Asian,11,81
Alabama,Asian,12,97
Alabama,Black or African American,1,1303
Alabama,Black or African American,2,1225
Alabama,Black or African American,3,1211
Alabama,Black or African American,4,1125
Alabama,Black or African American,5,1182
Alabama,Black or African American,6,1209
Alabama,Black or African American,7,1335
Alabama,Black or African American,8,1394
Alabama,Black or African American,9,1186
Alabama,Black or African American,10,1254
Alabama,Black or African American,11,1230
Alabama,Black or African American,12,1238
Alabama,Native Hawaiian or Other Pacific Islander,2,10
Alabama,Native Hawaiian or Other Pacific Islander,3,11
Alabama,Native Hawaiian or Other Pacific Islander,4,12
Alabama,Native Hawaiian or Other Pacific Islander,5,16
Alabama,Native Hawaiian or Other Pacific Islander,6,18
Alabama,Native Hawaiian or Other Pacific Islander,7,12
Alabama,Native Hawaiian or Other Pacific Islander,9,13
Alabama,Native Hawaiian or Other Pacific Islander,10,11
Alabama,Native Hawaiian or Other Pacific Islander,12,16
Alabama,White,1,3439
Alabama,White,2,3067
Alabama,White,3,3216
Alabama,White,4,3245
Alabama,White,5,3332
Alabama,White,6,3110
Alabama,White,7,3571
Alabama,White,8,3611
Alabama,White,9,3437
Alabama,White,10,3625
Alabama,White,11,3144
Alabama,White,12,3551
Alabama,More than one race,1,114
Alabama,More than one race,2,101
Alabama,More than one race,3,97
Alabama,More than one race,4,90
Alabama,More than one race,5,102
Alabama,More than one race,6,91
Alabama,More than one race,7,100
Alabama,More than one race,8,116
Alabama,More than one race,9,102
Alabama,More than one race,10,107
Alabama,More than one race,11,91
Alabama,More than one race,12,108
Alaska,American Indian or Alaska Native,1,137
Alaska,American Indian or Alaska Native,2,135
Alaska,American Indian or Alaska Native,3,155
Alaska,American Indian or Alaska Native,4,128
Alaska,American Indian or Alaska Native,5,128
Alaska,American Indian or Alaska Native,6,133
Alaska,American Indian or Alaska Native,7,143
Alaska,American Indian or Alaska Native,8,154
Alaska,American Indian or Alaska Native,9,121
Alaska,American Indian or Alaska Native,10,125
Alaska,American Indian or Alaska Native,11,146
Alaska,American Indian or Alaska Native,12,133
Alaska,Asian,1,38
Alaska,Asian,2,43
Alaska,Asian,3,37
Alaska,Asian,4,46
Alaska,Asian,5,57
Alaska,Asian,6,55
Alaska,Asian,7,36
Alaska,Asian,8,45
Alaska,Asian,9,50
Alaska,Asian,10,42
Alaska,Asian,11,28
Alaska,Asian,12,30
Alaska,Black or African American,1,27
Alaska,Black or African American,2,19
Alaska,Black or African American,3,26
Alaska,Black or African American,4,17
Alaska,Black or African American,5,26
Alaska,Black or African American,6,21
Alaska,Black or African American,7,25
Alaska,Black or African American,8,21
Alaska,Black or African American,9,24
Alaska,Black or African American,10,20
Alaska,Black or African American,11,22
Alaska,Black or African American,12,23
Alaska,Native Hawaiian or Other Pacific Islander,1,25
Alaska,Native Hawaiian or Other Pacific Islander,2,29
Alaska,Native Hawaiian or Other Pacific Islander,3,19
Alaska,Native Hawaiian or Other Pacific Islander,4,25
Alaska,Native Hawaiian or Other Pacific Islander,5,27
Alaska,Native Hawaiian or Other Pacific Islander,6,20
Alaska,Native Hawaiian or Other Pacific Islander,7,37
Alaska,Native Hawaiian or Other Pacific Islander,8,30
Alaska,Native Hawaiian or Other Pacific Islander,9,27
Alaska,Native Hawaiian or Other Pacific Islander,10,31
Alaska,Native Hawaiian or Other Pacific Islander,11,22
Alaska,Native Hawaiian or Other Pacific Islander,12,34
Alaska,White,1,445
Alaska,White,2,423
Alaska,White,3,446
Alaska,White,4,411
Alaska,White,5,453
Alaska,White,6,421
Alaska,White,7,485
Alaska,White,8,436
Alaska,White,9,438
Alaska,White,10,416
Alaska,White,11,384
Alaska,White,12,424
Alaska,More than one race,1,91
Alaska,More than one race,2,86
Alaska,More than one race,3,91
Alaska,More than one race,4,77
Alaska,More than one race,5,87
Alaska,More than one race,6,62
Alaska,More than one race,7,88
Alaska,More than one race,8,84
Alaska,More than one race,9,102
Alaska,More than one race,10,64
Alaska,More than one race,11,89
Alaska,More than one race,12,66
Arizona,American Indian or Alaska Native,1,316
Arizona,American Indian or Alaska Native,2,308
Arizona,American Indian or Alaska Native,3,325
Arizona,American Indian or Alaska Native,4,323
Arizona,American Indian or Alaska Native,5,277
Arizona,American Indian or Alaska Native,6,298
Arizona,American Indian or Alaska Native,7,337
Arizona,American Indian or Alaska Native,8,343
Arizona,American Indian or Alaska Native,9,323
Arizona,American Indian or Alaska Native,10,325
Arizona,American Indian or Alaska Native,11,342
Arizona,American Indian or Alaska Native,12,305
Arizona,Asian,1,230
Arizona,Asian,2,223
Arizona,Asian,3,259
Arizona,Asian,4,240
Arizona,Asian,5,261
Arizona,Asian,6,208
Arizona,Asian,7,243
Arizona,Asian,8,277
Arizona,Asian,9,255
Arizona,Asian,10,273
Arizona,Asian,11,271
Arizona,Asian,12,282
Arizona,Black or African American,1,435
Arizona,Black or African American,2,381
Arizona,Black or African American,3,423
Arizona,Black or African American,4,377
Arizona,Black or African American,5,407
Arizona,Black or African American,6,409
Arizona,Black or African American,7,423
Arizona,Black or African American,8,421
Arizona,Black or African American,9,435
Arizona,Black or African American,10,435
Arizona,Black or African American,11,476
Arizona,Black or African American,12,437
Arizona,Native Hawaiian or Other Pacific Islander,1,18
Arizona,Native Hawaiian or Other Pacific Islander,2,22
Arizona,Native Hawaiian or Other Pacific Islander,3,17
Arizona,Native Hawaiian or Other Pacific Islander,4,19
Arizona,Native Hawaiian or Other Pacific Islander,5,20
Arizona,Native Hawaiian or Other Pacific Islander,6,26
Arizona,Native Hawaiian or Other Pacific Islander,7,26
Arizona,Native Hawaiian or Other Pacific Islander,8,31
Arizona,Native Hawaiian or Other Pacific Islander,9,22
Arizona,Native Hawaiian or Other Pacific Islander,10,24
Arizona,Native Hawaiian or Other Pacific Islander,11,23
Arizona,Native Hawaiian or Other Pacific Islander,12,28
Arizona,White,1,5310
Arizona,White,2,4988
Arizona,White,3,5424
Arizona,White,4,4909
Arizona,White,5,5025
Arizona,White,6,4916
Arizona,White,7,5507
Arizona,White,8,5636
Arizona,White,9,5608
Arizona,White,10,5708
Arizona,White,11,5447
Arizona,White,12,5384
Arizona,More than one race,1,220
Arizona,More than one race,2,198
Arizona,More than one race,3,212
Arizona,More than one race,4,214
Arizona,More than one race,5,198
Arizona,More than one race,6,170
Arizona,More than one race,7,245
Arizona,More than one race,8,253
Arizona,More than one race,9,219
Arizona,More than one race,10,206
Arizona,More than one race,11,236
Arizona,More than one race,12,223
Arkansas,American Indian or Alaska Native,1,18
Arkansas,American Indian or Alaska Native,2,27
Arkansas,American Indian or Alaska Native,3,15
Arkansas,American Indian or Alaska Native,4,14
Arkansas,American Indian or Alaska Native,5,23
Arkansas,American Indian or Alaska Native,6,19
Arkansas,American Indian or Alaska Native,7,22
Arkansas,American Indian or Alaska Native,8,22
Arkansas,American Indian or Alaska Native,9,15
Arkansas,American Indian or Alaska Native,10,11
Arkansas,American Indian or Alaska Native,11,17
Arkansas,American Indian or Alaska Native,12,17
Arkansas,Asian,1,68
Arkansas,Asian,2,70
Arkansas,Asian,3,63
Arkansas,Asian,4,80
Arkansas,Asian,5,69
Arkansas,Asian,6,73
Arkansas,Asian,7,75
Arkansas,Asian,8,76
Arkansas,Asian,9,90
Arkansas,Asian,10,82
Arkansas,Asian,11,93
Arkansas,Asian,12,82
Arkansas,Black or African American,1,497
Arkansas,Black or African American,2,463
Arkansas,Black or African American,3,477
Arkansas,Black or African American,4,445
Arkansas,Black or African American,5,478
Arkansas,Black or African American,6,455
Arkansas,Black or African American,7,525
Arkansas,Black or African American,8,556
Arkansas,Black or African American,9,518
Arkansas,Black or African American,10,454
Arkansas,Black or African American,11,461
Arkansas,Black or African American,12,512
Arkansas,Native Hawaiian or Other Pacific Islander,1,57
Arkansas,Native Hawaiian or Other Pacific Islander,2,38
Arkansas,Native Hawaiian or Other Pacific Islander,3,33
Arkansas,Native Hawaiian or Other Pacific Islander,4,49
Arkansas,Native Hawaiian or Other Pacific Islander,5,47
Arkansas,Native Hawaiian or Other Pacific Islander,6,42
Arkansas,Native Hawaiian or Other Pacific Islander,7,40
Arkansas,Native Hawaiian or Other Pacific Islander,8,45
Arkansas,Native Hawaiian or Other Pacific Islander,9,40
Arkansas,Native Hawaiian or Other Pacific Islander,10,45
Arkansas,Native Hawaiian or Other Pacific Islander,11,43
Arkansas,Native Hawaiian or Other Pacific Islander,12,51
Arkansas,White,1,2300
Arkansas,White,2,2128
Arkansas,White,3,2104
Arkansas,White,4,2178
Arkansas,White,5,2180
Arkansas,White,6,2089
Arkansas,White,7,2372
Arkansas,White,8,2465
Arkansas,White,9,2403
Arkansas,White,10,2292
Arkansas,White,11,2038
