state,month,births
Alabama,1,4958
Alabama,2,4473
Alabama,3,4619
Alabama,4,4558
Alabama,5,4719
Alabama,6,4511
Alabama,7,5121
Alabama,8,5218
Alabama,9,4826
Alabama,10,5120
Alabama,11,4566
Alabama,12,5016
Alaska,1,762
Alaska,2,735
Alaska,3,770
Alaska,4,703
Alaska,5,778
Alaska,6,710
Alaska,7,813
Alaska,8,770
Alaska,9,760
Alaska,10,693
Alaska,11,689
Alaska,12,709
Arizona,1,6503
Arizona,2,6104
Arizona,3,6643
Arizona,4,6065
Arizona,5,6172
Arizona,6,6010
Arizona,7,6761
Arizona,8,6945
Arizona,9,6852
Arizona,10,6953
Arizona,11,6776
Arizona,12,6633
Arkansas,1,3001
Arkansas,2,2787
Arkansas,3,2779
Arkansas,4,2839
Arkansas,5,2866
Arkansas,6,2750
Arkansas,7,3105
Arkansas,8,3241
Arkansas,9,3140
Arkansas,10,2944
Arkansas,11,2732
Arkansas,12,3029
California,1,32661
California,2,30955
California,3,33065
California,4,31643
California,5,32800
California,6,32212
California,7,34434
California,8,35903
California,9,34546
California,10,35099
California,11,32324
California,12,33426
Colorado,1,5125
Colorado,2,5001
Colorado,3,5300
Colorado,4,5159
Colorado,5,5477
Colorado,6,5177
Colorado,7,5638
Colorado,8,5777
Colorado,9,5331
Colorado,10,5579
Colorado,11,5249
Colorado,12,5255
Connecticut,1,2714
Connecticut,2,2725
Connecticut,3,2853
Connecticut,4,2812
Connecticut,5,3036
Connecticut,6,2687
Connecticut,7,3166
Connecticut,8,3128
Connecticut,9,2846
Connecticut,10,2999
Connecticut,11,2660
Connecticut,12,2779
Delaware,1,858
Delaware,2,800
Delaware,3,839
Delaware,4,888
Delaware,5,873
Delaware,6,900
Delaware,7,899
Delaware,8,985
Delaware,9,866
Delaware,10,899
Delaware,11,819
Delaware,12,740
District of Columbia,1,615
District of Columbia,2,598
District of Columbia,3,644
District of Columbia,4,603
District of Columbia,5,653
District of Columbia,6,624
District of Columbia,7,632
District of Columbia,8,694
District of Columbia,9,624
District of Columbia,10,617
District of Columbia,11,663
District of Columbia,12,554
Florida,1,18366
Florida,2,17455
Florida,3,17877
Florida,4,17308
Florida,5,17749
Florida,6,17311
Florida,7,19145
Florida,8,20066
Florida,9,19581
Florida,10,20007
Florida,11,18739
Florida,12,19776
Georgia,1,10439
Georgia,2,9971
Georgia,3,10397
Georgia,4,9840
Georgia,5,10298
Georgia,6,9921
Georgia,7,11130
Georgia,8,11372
Georgia,9,10639
Georgia,10,10700
Georgia,11,10269
Georgia,12,10907
Hawaii,1,1228
Hawaii,2,1210
Hawaii,3,1199
Hawaii,4,1213
Hawaii,5,1235
Hawaii,6,1161
Hawaii,7,1191
Hawaii,8,1270
Hawaii,9,1278
Hawaii,10,1313
Hawaii,11,1232
Hawaii,12,1142
Idaho,1,1791
Idaho,2,1727
Idaho,3,1879
Idaho,4,1942
Idaho,5,2109
Idaho,6,1979
Idaho,7,2100
Idaho,8,2066
Idaho,9,2019
Idaho,10,1911
Idaho,11,1792
Idaho,12,1866
Illinois,1,10190
Illinois,2,9689
Illinois,3,10221
Illinois,4,10201
Illinois,5,10715
Illinois,6,10464
Illinois,7,11230
Illinois,8,11117
Illinois,9,10383
Illinois,10,10867
Illinois,11,9940
Illinois,12,10193
Indiana,1,6398
Indiana,2,6326
Indiana,3,6735
Indiana,4,6546
Indiana,5,6708
Indiana,6,6563
Indiana,7,7027
Indiana,8,7197
Indiana,9,6800
Indiana,10,6882
Indiana,11,6125
Indiana,12,6627
Iowa,1,3057
Iowa,2,2731
Iowa,3,3115
Iowa,4,2994
Iowa,5,3085
Iowa,6,3030
Iowa,7,3143
Iowa,8,3180
Iowa,9,3017
Iowa,10,3199
Iowa,11,2828
Iowa,12,2922
Kansas,1,2810
Kansas,2,2615
Kansas,3,2811
Kansas,4,2765
Kansas,5,2789
Kansas,6,2701
Kansas,7,2989
Kansas,8,3111
Kansas,9,2884
Kansas,10,2908
Kansas,11,2669
Kansas,12,2840
Kentucky,1,4397
Kentucky,2,4137
Kentucky,3,4251
Kentucky,4,4247
Kentucky,5,4398
Kentucky,6,4290
Kentucky,7,4826
Kentucky,8,4749
Kentucky,9,4408
Kentucky,10,4575
Kentucky,11,4090
Kentucky,12,4262
Louisiana,1,4416
Louisiana,2,4238
Louisiana,3,4271
Louisiana,4,4068
Louisiana,5,4196
Louisiana,6,4116
Louisiana,7,4812
Louisiana,8,4757
Louisiana,9,4620
Louisiana,10,4664
Louisiana,11,4334
