State,StateCode,Month,Births
Alabama,01,1,4964
Alabama,01,2,4486
Alabama,01,3,4628
Alabama,01,4,4566
Alabama,01,5,4727
Alabama,01,6,4521
Alabama,01,7,5130
Alabama,01,8,5232
Alabama,01,9,4834
Alabama,01,10,5132
Alabama,01,11,4576
Alabama,01,12,5028
Alaska,02,1,763
Alaska,02,2,735
Alaska,02,3,774
Alaska,02,4,704
Alaska,02,5,778
Alaska,02,6,712
Alaska,02,7,814
Alaska,02,8,770
Alaska,02,9,762
Alaska,02,10,698
Alaska,02,11,691
Alaska,02,12,710
Arizona,04,1,6529
Arizona,04,2,6120
Arizona,04,3,6660
Arizona,04,4,6082
Arizona,04,5,6188
Arizona,04,6,6027
Arizona,04,7,6781
Arizona,04,8,6961
Arizona,04,9,6862
Arizona,04,10,6971
Arizona,04,11,6795
Arizona,04,12,6659
Arkansas,05,1,3006
Arkansas,05,2,2796
Arkansas,05,3,2783
Arkansas,05,4,2843
Arkansas,05,5,2872
Arkansas,05,6,2754
Arkansas,05,7,3110
Arkansas,05,8,3245
Arkansas,05,9,3142
Arkansas,05,10,2953
Arkansas,05,11,2734
Arkansas,05,12,3033
California,06,1,32845
California,06,2,31144
California,06,3,33250
California,06,4,31826
California,06,5,33004
California,06,6,32382
California,06,7,34616
California,06,8,36099
California,06,9,34709
California,06,10,35314
California,06,11,32534
California,06,12,33656
Colorado,08,1,5134
Colorado,08,2,5020
Colorado,08,3,5317
Colorado,08,4,5174
Colorado,08,5,5502
Colorado,08,6,5192
Colorado,08,7,5661
Colorado,08,8,5795
Colorado,08,9,5347
Colorado,08,10,5594
Colorado,08,11,5271
Colorado,08,12,5266
Connecticut,09,1,2726
Connecticut,09,2,2734
Connecticut,09,3,2873
Connecticut,09,4,2834
Connecticut,09,5,3057
Connecticut,09,6,2700
Connecticut,09,7,3176
Connecticut,09,8,3139
Connecticut,09,9,2863
Connecticut,09,10,3010
Connecticut,09,11,2676
Connecticut,09,12,2790
Delaware,10,1,862
Delaware,10,2,801
Delaware,10,3,845
Delaware,10,4,890
Delaware,10,5,875
Delaware,10,6,901
Delaware,10,7,901
Delaware,10,8,988
Delaware,10,9,868
Delaware,10,10,900
Delaware,10,11,823
Delaware,10,12,742
District of Columbia,11,1,618
District of Columbia,11,2,602
District of Columbia,11,3,647
District of Columbia,11,4,609
District of Columbia,11,5,657
District of Columbia,11,6,628
District of Columbia,11,7,635
District of Columbia,11,8,703
District of Columbia,11,9,630
District of Columbia,11,10,621
District of Columbia,11,11,668
District of Columbia,11,12,561
Florida,12,1,18428
Florida,12,2,17525
Florida,12,3,17947
Florida,12,4,17374
Florida,12,5,17833
Florida,12,6,17365
Florida,12,7,19227
Florida,12,8,20153
Florida,12,9,19646
Florida,12,10,20089
Florida,12,11,18806
Florida,12,12,19849
Georgia,13,1,10479
Georgia,13,2,10013
Georgia,13,3,10433
Georgia,13,4,9874
Georgia,13,5,10339
Georgia,13,6,9948
Georgia,13,7,11158
Georgia,13,8,11407
Georgia,13,9,10670
Georgia,13,10,10732
Georgia,13,11,10312
Georgia,13,12,10942
Hawaii,15,1,1229
Hawaii,15,2,1221
Hawaii,15,3,1206
Hawaii,15,4,1217
Hawaii,15,5,1245
Hawaii,15,6,1172
Hawaii,15,7,1200
Hawaii,15,8,1274
Hawaii,15,9,1283
Hawaii,15,10,1322
Hawaii,15,11,1239
Hawaii,15,12,1149
Idaho,16,1,1796
Idaho,16,2,1731
Idaho,16,3,1887
Idaho,16,4,1946
Idaho,16,5,2113
Idaho,16,6,1981
Idaho,16,7,2105
Idaho,16,8,2069
Idaho,16,9,2023
Idaho,16,10,1913
Idaho,16,11,1799
Idaho,16,12,1870
Illinois,17,1,10226
Illinois,17,2,9714
Illinois,17,3,10259
Illinois,17,4,10234
Illinois,17,5,10759
Illinois,17,6,10502
Illinois,17,7,11266
Illinois,17,8,11147
Illinois,17,9,10417
Illinois,17,10,10908
Illinois,17,11,9980
Illinois,17,12,10229
Indiana,18,1,6410
Indiana,18,2,6341
Indiana,18,3,6763
Indiana,18,4,6560
Indiana,18,5,6725
Indiana,18,6,6576
Indiana,18,7,7045
Indiana,18,8,7211
Indiana,18,9,6817
Indiana,18,10,6900
Indiana,18,11,6136
Indiana,18,12,6640
Iowa,19,1,3059
Iowa,19,2,2739
Iowa,19,3,3122
Iowa,19,4,2999
Iowa,19,5,3094
Iowa,19,6,3033
Iowa,19,7,3149
Iowa,19,8,3187
Iowa,19,9,3026
Iowa,19,10,3205
Iowa,19,11,2833
Iowa,19,12,2935
Kansas,20,1,2813
Kansas,20,2,2620
Kansas,20,3,2818
Kansas,20,4,2768
Kansas,20,5,2801
Kansas,20,6,2707
Kansas,20,7,2993
Kansas,20,8,3116
Kansas,20,9,2888
Kansas,20,10,2922
Kansas,20,11,2676
Kansas,20,12,2848
Kentucky,21,1,4405
Kentucky,21,2,4149
Kentucky,21,3,4260
Kentucky,21,4,4253
Kentucky,21,5,4413
Kentucky,21,6,4297
Kentucky,21,7,4832
Kentucky,21,8,4753
Kentucky,21,9,4417
Kentucky,21,10,4583
Kentucky,21,11,4097
Kentucky,21,12,4276
Louisiana,22,1,4422
Louisiana,22,2,4251
Louisiana,22,3,4280
Louisiana,22,4,4079
Louisiana,22,5,4206
Louisiana,22,6,4125
Louisiana,22,7,4821
Louisiana,22,8,4765
Louisiana,22,9,4627
Louisiana,22,10,4677
Louisiana,22,11,4339
Louisiana,22,12,3745
Maine,23,1,949
Maine,23,2,918
Maine,23,3,981
Maine,23,4,953
Maine,23,5,990
Maine,23,6,945
Maine,23,7,1029
Maine,23,8,990
Maine,23,9,964
Maine,23,10,1018
Maine,23,11,939
Maine,23,12,919
Maryland,24,1,5455
Maryland,24,2,5151
Maryland,24,3,5516
Maryland,24,4,5239
Maryland,24,5,5576
Maryland,24,6,5354
Maryland,24,7,5847
Maryland,24,8,5976
Maryland,24,9,5487
Maryland,24,10,5505
Maryland,24,11,5226
Maryland,24,12,5405
Massachusetts,25,1,5476
Massachusetts,25,2,5312
Massachusetts,25,3,5702
Massachusetts,25,4,5561
Massachusetts,25,5,5876
Massachusetts,25,6,5679
Massachusetts,25,7,6002
Massachusetts,25,8,6071
Massachusetts,25,9,5670
Massachusetts,25,10,5829
Massachusetts,25,11,5509
Massachusetts,25,12,5484
Michigan,26,1,7980
Michigan,26,2,7725
Michigan,26,3,8363
Michigan,26,4,8241
Michigan,26,5,8708
Michigan,26,6,8503
Michigan,26,7,8742
Michigan,26,8,8934
Michigan,26,9,8301
Michigan,26,10,8439
Michigan,26,11,7616
Michigan,26,12,7876
Minnesota,27,1,4819
Minnesota,27,2,4891
Minnesota,27,3,5096
Minnesota,27,4,5148
Minnesota,27,5,5425
Minnesota,27,6,5092
Minnesota,27,7,5353
Minnesota,27,8,5525
