State,StateCode,TwoMonthGroup,Births
Alabama,1,1,9450
Alabama,1,2,9194
Alabama,1,3,9248
Alabama,1,4,10362
Alabama,1,5,9966
Alabama,1,6,9604
Alaska,2,1,1498
Alaska,2,2,1478
Alaska,2,3,1490
Alaska,2,4,1584
Alaska,2,5,1460
Alaska,2,6,1401
Arizona,4,1,12649
Arizona,4,2,12742
Arizona,4,3,12215
Arizona,4,4,13742
Arizona,4,5,13833
Arizona,4,6,13454
Arkansas,5,1,5802
Arkansas,5,2,5626
Arkansas,5,3,5626
Arkansas,5,4,6355
Arkansas,5,5,6095
Arkansas,5,6,5767
California,6,1,63989
California,6,2,65076
California,6,3,65386
California,6,4,70715
California,6,5,70023
California,6,6,66190
Colorado,8,1,10154
Colorado,8,2,10491
Colorado,8,3,10694
Colorado,8,4,11456
Colorado,8,5,10941
Colorado,8,6,10537
Connecticut,9,1,5460
Connecticut,9,2,5707
Connecticut,9,3,5757
Connecticut,9,4,6315
Connecticut,9,5,5873
Connecticut,9,6,5466
Delaware,10,1,1663
Delaware,10,2,1735
Delaware,10,3,1776
Delaware,10,4,1889
Delaware,10,5,1768
Delaware,10,6,1565
District of Columbia,11,1,1220
District of Columbia,11,2,1256
District of Columbia,11,3,1285
District of Columbia,11,4,1338
District of Columbia,11,5,1251
District of Columbia,11,6,1229
Florida,12,1,35953
Florida,12,2,35321
Florida,12,3,35198
Florida,12,4,39380
Florida,12,5,39735
Florida,12,6,38655
Georgia,13,1,20492
Georgia,13,2,20307
Georgia,13,3,20287
Georgia,13,4,22565
Georgia,13,5,21402
Georgia,13,6,21254
Hawaii,15,1,2450
Hawaii,15,2,2423
Hawaii,15,3,2417
Hawaii,15,4,2474
Hawaii,15,5,2605
Hawaii,15,6,2388
Idaho,16,1,3527
Idaho,16,2,3833
Idaho,16,3,4094
Idaho,16,4,4174
Idaho,16,5,3936
Idaho,16,6,3669
Illinois,17,1,19940
Illinois,17,2,20493
Illinois,17,3,21261
Illinois,17,4,22413
Illinois,17,5,21325
Illinois,17,6,20209
Indiana,18,1,12751
Indiana,18,2,13323
Indiana,18,3,13301
Indiana,18,4,14256
Indiana,18,5,13717
Indiana,18,6,12776
Iowa,19,1,5798
Iowa,19,2,6121
Iowa,19,3,6127
Iowa,19,4,6336
Iowa,19,5,6231
Iowa,19,6,5768
Kansas,20,1,5433
Kansas,20,2,5586
Kansas,20,3,5508
Kansas,20,4,6109
Kansas,20,5,5810
Kansas,20,6,5524
Kentucky,21,1,8554
Kentucky,21,2,8513
Kentucky,21,3,8710
Kentucky,21,4,9585
Kentucky,21,5,9000
Kentucky,21,6,8373
Louisiana,22,1,8673
Louisiana,22,2,8359
Louisiana,22,3,8331
Louisiana,22,4,9586
Louisiana,22,5,9304
Louisiana,22,6,8084
Maine,23,1,1867
Maine,23,2,1934
Maine,23,3,1935
Maine,23,4,2019
Maine,23,5,1982
Maine,23,6,1858
Maryland,24,1,10606
Maryland,24,2,10755
Maryland,24,3,10930
Maryland,24,4,11823
Maryland,24,5,10992
Maryland,24,6,10631
Massachusetts,25,1,10788
Massachusetts,25,2,11263
Massachusetts,25,3,11555
Massachusetts,25,4,12073
Massachusetts,25,5,11499
Massachusetts,25,6,10993
Michigan,26,1,15705
Michigan,26,2,16604
Michigan,26,3,17211
Michigan,26,4,17676
Michigan,26,5,16740
Michigan,26,6,15492
Minnesota,27,1,9710
Minnesota,27,2,10244
Minnesota,27,3,10517
Minnesota,27,4,10878
Minnesota,27,5,10501
Minnesota,27,6,10160
Mississippi,28,1,5538
Mississippi,28,2,5231
Mississippi,28,3,5373
Mississippi,28,4,5952
Mississippi,28,5,5763
Mississippi,28,6,5590
Missouri,29,1,11112
Missouri,29,2,10967
Missouri,29,3,11164
Missouri,29,4,12021
Missouri,29,5,11721
Missouri,29,6,10756
Montana,30,1,1797
Montana,30,2,1895
Montana,30,3,1973
Montana,30,4,1944
Montana,30,5,1889
Montana,30,6,1816
Nebraska,31,1,4051
Nebraska,31,2,4057
Nebraska,31,3,4248
Nebraska,31,4,4259
Nebraska,31,5,4215
Nebraska,31,6,3870
Nevada,32,1,5163
Nevada,32,2,5165
Nevada,32,3,5231
