,Unnamed: 0,state,year,bmcode,births_age1524,births_age2534,births_age3544,births_nohs,births_hs,births_somecoll,births_coll,births_married,births_unmarried,births_medicaid,births_nhblack,births_nhwhite,births_hisp,births_total,births_otherraceeth,births_nonmedicaid,pop_total,pop_nhblack,pop_nhwhite,pop_hisp,pop_otherraceeth,pop_medicaid,pop_nonmedicaid,pop_nohs,pop_hs,pop_somecoll,pop_coll,pop_married,pop_unmarried,pop_age1524,pop_age2534,pop_age3544,policy_on,exposed_births,start_date,end_date,time,dobbs_code,quarter,days_multiplier,exposure_code,births_other,pop_other
0,0,Alabama,2016,1,3400.0,5094.0,1015.0,1549.0,2938.0,2851.0,2152.0,5285.0,4224.0,4947.0,2837.0,5627.0,729.0,9509.0,316.0,4562.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-01-01,2016-02-29,2016-01-01,1.0,2016-Q1,1.0,0,316.0,36862.0
1,1,Alabama,2016,2,3189.0,5098.0,1047.0,1425.0,2845.0,2751.0,2298.0,5363.0,3971.0,4528.0,2727.0,5562.0,733.0,9334.0,312.0,4806.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-03-01,2016-04-30,2016-03-01,1.0,2016-Q1,1.010989010989011,0,312.0,36862.0
2,2,Alabama,2016,3,3291.0,5425.0,1116.0,1500.0,2877.0,2941.0,2491.0,5545.0,4287.0,4814.0,2841.0,5978.0,725.0,9832.0,288.0,5018.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-05-01,2016-06-30,2016-05-01,1.0,2016-Q2,1.010989010989011,0,288.0,36862.0
3,3,Alabama,2016,4,3613.0,5644.0,1096.0,1594.0,3224.0,3097.0,2419.0,5697.0,4656.0,5172.0,3071.0,6113.0,805.0,10353.0,364.0,5181.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-07-01,2016-08-31,2016-07-01,1.0,2016-Q3,1.010989010989011,0,364.0,36862.0
4,4,Alabama,2016,5,3528.0,5542.0,1133.0,1611.0,3147.0,3030.0,2402.0,5541.0,4662.0,5249.0,3043.0,6005.0,795.0,10203.0,360.0,4954.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-09-01,2016-10-31,2016-09-01,1.0,2016-Q3,1.0,0,360.0,36862.0
5,5,Alabama,2016,6,3525.0,5286.0,1022.0,1600.0,3024.0,2978.0,2199.0,5238.0,4595.0,5094.0,3142.0,5578.0,781.0,9833.0,332.0,4739.0,952636.0,292788.0,579530.0,43456.0,36862.0,647675.0,304961.0,170913.0,283848.0,285480.0,212395.0,370777.0,581859.0,324063.0,323083.0,305490.0,0.0,0,2016-11-01,2016-12-31,2016-11-01,1.0,2016-Q4,1.010989010989011,0,332.0,36862.0
6,6,Alabama,2017,1,3326.0,5061.0,1033.0,1412.0,2923.0,2866.0,2195.0,4875.0,4544.0,4766.0,2897.0,5441.0,759.0,9420.0,323.0,4654.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-01-01,2017-02-28,2017-01-01,1.0,2017-Q1,0.989010989010989,0,323.0,37568.0
7,7,Alabama,2017,2,3051.0,5109.0,1013.0,1317.0,2756.0,2786.0,2298.0,5024.0,4149.0,4394.0,2692.0,5468.0,699.0,9173.0,314.0,4779.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-03-01,2017-04-30,2017-03-01,1.0,2017-Q1,1.010989010989011,0,314.0,37568.0
8,8,Alabama,2017,3,3252.0,5205.0,1111.0,1328.0,2967.0,2971.0,2280.0,5246.0,4319.0,4623.0,2790.0,5727.0,721.0,9568.0,330.0,4945.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-05-01,2017-06-30,2017-05-01,1.0,2017-Q2,1.010989010989011,0,330.0,37568.0
9,9,Alabama,2017,4,3615.0,5851.0,1111.0,1540.0,3339.0,3244.0,2427.0,5582.0,4994.0,5248.0,3247.0,6113.0,852.0,10577.0,365.0,5329.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-07-01,2017-08-31,2017-07-01,1.0,2017-Q3,1.010989010989011,0,365.0,37568.0
10,10,Alabama,2017,5,3473.0,5634.0,1148.0,1578.0,3243.0,3011.0,2389.0,5300.0,4954.0,5077.0,3165.0,5955.0,772.0,10255.0,363.0,5178.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-09-01,2017-10-31,2017-09-01,1.0,2017-Q3,1.0,0,363.0,37568.0
11,11,Alabama,2017,6,3304.0,5339.0,1207.0,1393.0,3126.0,3002.0,2305.0,5109.0,4741.0,4966.0,3140.0,5624.0,730.0,9850.0,356.0,4884.0,949999.0,292053.0,576145.0,44233.0,37568.0,643170.0,306829.0,173538.0,299859.0,268193.0,208409.0,351344.0,598655.0,319854.0,325345.0,304800.0,0.0,0,2017-11-01,2017-12-31,2017-11-01,1.0,2017-Q4,1.010989010989011,0,356.0,37568.0
12,12,Alabama,2018,1,3197.0,4944.0,1083.0,1290.0,2950.0,2852.0,2114.0,4846.0,4378.0,4597.0,2891.0,5296.0,727.0,9224.0,310.0,4627.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-01-01,2018-02-28,2018-01-01,1.0,2018-Q1,0.989010989010989,0,310.0,38006.0
13,13,Alabama,2018,2,3005.0,5012.0,1107.0,1220.0,2827.0,2771.0,2297.0,4930.0,4193.0,4479.0,2705.0,5383.0,713.0,9124.0,323.0,4645.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-03-01,2018-04-30,2018-03-01,1.0,2018-Q1,1.010989010989011,0,323.0,38006.0
14,14,Alabama,2018,3,3151.0,5347.0,1043.0,1265.0,3090.0,2846.0,2316.0,5179.0,4362.0,4605.0,2841.0,5684.0,685.0,9541.0,331.0,4936.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-05-01,2018-06-30,2018-05-01,1.0,2018-Q2,1.010989010989011,0,331.0,38006.0
15,15,Alabama,2018,4,3381.0,5675.0,1143.0,1398.0,3217.0,3150.0,2413.0,5436.0,4762.0,4963.0,3070.0,6004.0,778.0,10199.0,347.0,5236.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-07-01,2018-08-31,2018-07-01,1.0,2018-Q3,1.010989010989011,0,347.0,38006.0
16,16,Alabama,2018,5,3182.0,5464.0,1159.0,1381.0,3116.0,2928.0,2359.0,5221.0,4584.0,4822.0,3019.0,5717.0,747.0,9805.0,322.0,4983.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-09-01,2018-10-31,2018-09-01,1.0,2018-Q3,1.0,0,322.0,38006.0
17,17,Alabama,2018,6,3276.0,5328.0,1161.0,1424.0,3100.0,2960.0,2262.0,5077.0,4688.0,4918.0,3048.0,5646.0,731.0,9765.0,340.0,4847.0,948960.0,291203.0,574327.0,45424.0,38006.0,643891.0,305069.0,157782.0,298852.0,273018.0,219308.0,369436.0,579524.0,317533.0,326160.0,305267.0,0.0,0,2018-11-01,2018-12-31,2018-11-01,1.0,2018-Q4,1.010989010989011,0,340.0,38006.0
