state,month,births,education
Alabama,1,1262,births_coll
Alabama,2,1217,births_coll
Alabama,3,1243,births_coll
Alabama,4,1327,births_coll
Alabama,5,1269,births_coll
Alabama,6,1243,births_coll
Alabama,7,1337,births_coll
Alabama,8,1387,births_coll
Alabama,9,1299,births_coll
Alabama,10,1422,births_coll
Alabama,11,1182,births_coll
Alabama,12,1328,births_coll
Alaska,1,222,births_coll
Alaska,2,212,births_coll
Alaska,3,210,births_coll
Alaska,4,186,births_coll
Alaska,5,212,births_coll
Alaska,6,192,births_coll
Alaska,7,213,births_coll
Alaska,8,206,births_coll
Alaska,9,191,births_coll
Alaska,10,176,births_coll
Alaska,11,175,births_coll
Alaska,12,217,births_coll
Arizona,1,1887,births_coll
Arizona,2,1840,births_coll
Arizona,3,1944,births_coll
Arizona,4,1763,births_coll
Arizona,5,1885,births_coll
Arizona,6,1724,births_coll
Arizona,7,1920,births_coll
Arizona,8,1926,births_coll
Arizona,9,1971,births_coll
Arizona,10,2049,births_coll
Arizona,11,1958,births_coll
Arizona,12,1915,births_coll
Arkansas,1,724,births_coll
Arkansas,2,713,births_coll
Arkansas,3,756,births_coll
Arkansas,4,753,births_coll
Arkansas,5,805,births_coll
Arkansas,6,693,births_coll
Arkansas,7,784,births_coll
Arkansas,8,820,births_coll
Arkansas,9,798,births_coll
Arkansas,10,782,births_coll
Arkansas,11,717,births_coll
Arkansas,12,780,births_coll
California,1,11379,births_coll
California,2,11141,births_coll
California,3,12214,births_coll
California,4,11765,births_coll
California,5,11965,births_coll
California,6,11649,births_coll
California,7,12640,births_coll
California,8,13147,births_coll
California,9,12558,births_coll
California,10,12949,births_coll
California,11,11866,births_coll
California,12,12085,births_coll
Colorado,1,2202,births_coll
Colorado,2,2206,births_coll
Colorado,3,2317,births_coll
Colorado,4,2303,births_coll
Colorado,5,2488,births_coll
Colorado,6,2203,births_coll
Colorado,7,2603,births_coll
Colorado,8,2548,births_coll
Colorado,9,2334,births_coll
Colorado,10,2429,births_coll
Colorado,11,2192,births_coll
Colorado,12,2182,births_coll
Connecticut,1,1295,births_coll
Connecticut,2,1284,births_coll
Connecticut,3,1426,births_coll
Connecticut,4,1424,births_coll
Connecticut,5,1501,births_coll
Connecticut,6,1356,births_coll
Connecticut,7,1555,births_coll
Connecticut,8,1564,births_coll
Connecticut,9,1407,births_coll
Connecticut,10,1543,births_coll
Connecticut,11,1355,births_coll
Connecticut,12,1269,births_coll
Delaware,1,283,births_coll
Delaware,2,266,births_coll
Delaware,3,272,births_coll
Delaware,4,304,births_coll
Delaware,5,283,births_coll
Delaware,6,300,births_coll
Delaware,7,312,births_coll
Delaware,8,355,births_coll
Delaware,9,309,births_coll
Delaware,10,299,births_coll
Delaware,11,280,births_coll
Delaware,12,270,births_coll
District of Columbia,1,303,births_coll
District of Columbia,2,293,births_coll
District of Columbia,3,329,births_coll
District of Columbia,4,318,births_coll
District of Columbia,5,372,births_coll
District of Columbia,6,338,births_coll
District of Columbia,7,325,births_coll
District of Columbia,8,352,births_coll
District of Columbia,9,291,births_coll
District of Columbia,10,317,births_coll
District of Columbia,11,344,births_coll
District of Columbia,12,288,births_coll
Florida,1,6159,births_coll
Florida,2,5725,births_coll
Florida,3,6104,births_coll
Florida,4,6037,births_coll
Florida,5,6019,births_coll
Florida,6,5680,births_coll
Florida,7,5808,births_coll
Florida,8,6523,births_coll
Florida,9,6249,births_coll
Florida,10,6630,births_coll
Florida,11,6095,births_coll
Florida,12,6301,births_coll
Georgia,1,3290,births_coll
Georgia,2,3227,births_coll
Georgia,3,3475,births_coll
Georgia,4,3280,births_coll
Georgia,5,3503,births_coll
Georgia,6,3353,births_coll
Georgia,7,3623,births_coll
Georgia,8,3716,births_coll
Georgia,9,3494,births_coll
Georgia,10,3442,births_coll
Georgia,11,3320,births_coll
Georgia,12,3311,births_coll
Hawaii,1,419,births_coll
Hawaii,2,438,births_coll
Hawaii,3,444,births_coll
Hawaii,4,446,births_coll
Hawaii,5,451,births_coll
Hawaii,6,428,births_coll
Hawaii,7,402,births_coll
Hawaii,8,465,births_coll
Hawaii,9,461,births_coll
Hawaii,10,462,births_coll
Hawaii,11,429,births_coll
Hawaii,12,393,births_coll
Idaho,1,561,births_coll
Idaho,2,555,births_coll
Idaho,3,645,births_coll
Idaho,4,643,births_coll
Idaho,5,685,births_coll
Idaho,6,648,births_coll
Idaho,7,698,births_coll
Idaho,8,653,births_coll
Idaho,9,661,births_coll
Idaho,10,624,births_coll
Idaho,11,583,births_coll
Idaho,12,640,births_coll
Illinois,1,4073,births_coll
Illinois,2,3935,births_coll
Illinois,3,4332,births_coll
Illinois,4,4399,births_coll
Illinois,5,4611,births_coll
Illinois,6,4456,births_coll
Illinois,7,4647,births_coll
Illinois,8,4607,births_coll
Illinois,9,4292,births_coll
Illinois,10,4720,births_coll
Illinois,11,4131,births_coll
Illinois,12,4182,births_coll
Indiana,1,1837,births_coll
Indiana,2,1937,births_coll
Indiana,3,2124,births_coll
Indiana,4,2136,births_coll
Indiana,5,2157,births_coll
Indiana,6,2089,births_coll
Indiana,7,2154,births_coll
Indiana,8,2206,births_coll
Indiana,9,2144,births_coll
Indiana,10,2279,births_coll
Indiana,11,1915,births_coll
Indiana,12,1971,births_coll
Iowa,1,1087,births_coll
Iowa,2,1028,births_coll
Iowa,3,1195,births_coll
Iowa,4,1122,births_coll
Iowa,5,1164,births_coll
Iowa,6,1135,births_coll
Iowa,7,1104,births_coll
Iowa,8,1190,births_coll
Iowa,9,1104,births_coll
Iowa,10,1151,births_coll
Iowa,11,1046,births_coll
Iowa,12,1041,births_coll
Kansas,1,981,births_coll
Kansas,2,952,births_coll
Kansas,3,1074,births_coll
Kansas,4,1060,births_coll
Kansas,5,1073,births_coll
Kansas,6,982,births_coll
Kansas,7,1041,births_coll
Kansas,8,1090,births_coll
Kansas,9,1031,births_coll
Kansas,10,1093,births_coll
Kansas,11,978,births_coll
Kansas,12,1027,births_coll
Kentucky,1,1136,births_coll
Kentucky,2,1153,births_coll
Kentucky,3,1218,births_coll
Kentucky,4,1231,births_coll
Kentucky,5,1306,births_coll
Kentucky,6,1234,births_coll
Kentucky,7,1415,births_coll
Kentucky,8,1317,births_coll
Kentucky,9,1210,births_coll
Kentucky,10,1307,births_coll
Kentucky,11,1127,births_coll
Kentucky,12,1192,births_coll
Louisiana,1,1135,births_coll
Louisiana,2,1116,births_coll
Louisiana,3,1160,births_coll
Louisiana,4,1071,births_coll
Louisiana,5,1149,births_coll
Louisiana,6,1022,births_coll
Louisiana,7,1225,births_coll
Louisiana,8,1231,births_coll
Louisiana,9,1131,births_coll
Louisiana,10,1118,births_coll
Louisiana,11,1095,births_coll
Louisiana,12,1039,births_coll
Maine,1,401,births_coll
Maine,2,353,births_coll
Maine,3,408,births_coll
Maine,4,410,births_coll
Maine,5,397,births_coll
Maine,6,388,births_coll
Maine,7,440,births_coll
Maine,8,437,births_coll
Maine,9,397,births_coll
Maine,10,441,births_coll
Maine,11,378,births_coll
Maine,12,384,births_coll
Maryland,1,2343,births_coll
Maryland,2,2129,births_coll
Maryland,3,2449,births_coll
Maryland,4,2309,births_coll
Maryland,5,2515,births_coll
Maryland,6,2277,births_coll
Maryland,7,2567,births_coll
Maryland,8,2556,births_coll
Maryland,9,2338,births_coll
Maryland,10,2358,births_coll
Maryland,11,2200,births_coll
Maryland,12,2167,births_coll
Massachusetts,1,2644,births_coll
Massachusetts,2,2541,births_coll
Massachusetts,3,2926,births_coll
Massachusetts,4,2840,births_coll
Massachusetts,5,3020,births_coll
Massachusetts,6,2907,births_coll
Massachusetts,7,3039,births_coll
Massachusetts,8,3066,births_coll
Massachusetts,9,2844,births_coll
Massachusetts,10,2899,births_coll
Massachusetts,11,2720,births_coll
Massachusetts,12,2600,births_coll
Michigan,1,2561,births_coll
Michigan,2,2498,births_coll
Michigan,3,2804,births_coll
Michigan,4,2861,births_coll
Michigan,5,3057,births_coll
Michigan,6,2921,births_coll
Michigan,7,3009,births_coll
Michigan,8,3108,births_coll
Michigan,9,2834,births_coll
Michigan,10,2882,births_coll
Michigan,11,2648,births_coll
Michigan,12,2620,births_coll
Minnesota,1,2092,births_coll
Minnesota,2,2230,births_coll
Minnesota,3,2293,births_coll
Minnesota,4,2423,births_coll
Minnesota,5,2615,births_coll
Minnesota,6,2340,births_coll
Minnesota,7,2477,births_coll
Minnesota,8,2524,births_coll
Minnesota,9,2365,births_coll
Minnesota,10,2467,births_coll
Minnesota,11,2255,births_coll
Minnesota,12,2276,births_coll
Mississippi,1,640,births_coll
Mississippi,2,658,births_coll
Mississippi,3,656,births_coll
Mississippi,4,627,births_coll
Mississippi,5,620,births_coll
Mississippi,6,638,births_coll
Mississippi,7,707,births_coll
Mississippi,8,651,births_coll
Mississippi,9,610,births_coll
Mississippi,10,723,births_coll
Mississippi,11,622,births_coll
Mississippi,12,671,births_coll
Missouri,1,1824,births_coll
Missouri,2,1814,births_coll
