state,month,births,education
Alabama,1,1660,births_hs
Alabama,2,1437,births_hs
Alabama,3,1553,births_hs
Alabama,4,1534,births_hs
Alabama,5,1501,births_hs
Alabama,6,1564,births_hs
Alabama,7,1703,births_hs
Alabama,8,1680,births_hs
Alabama,9,1648,births_hs
Alabama,10,1537,births_hs
Alabama,11,1521,births_hs
Alabama,12,1659,births_hs
Alaska,1,281,births_hs
Alaska,2,223,births_hs
Alaska,3,235,births_hs
Alaska,4,229,births_hs
Alaska,5,262,births_hs
Alaska,6,253,births_hs
Alaska,7,240,births_hs
Alaska,8,254,births_hs
Alaska,9,262,births_hs
Alaska,10,268,births_hs
Alaska,11,216,births_hs
Alaska,12,269,births_hs
Arizona,1,1859,births_hs
Arizona,2,1678,births_hs
Arizona,3,1645,births_hs
Arizona,4,1633,births_hs
Arizona,5,1638,births_hs
Arizona,6,1598,births_hs
Arizona,7,1814,births_hs
Arizona,8,1804,births_hs
Arizona,9,1880,births_hs
Arizona,10,1855,births_hs
Arizona,11,1697,births_hs
Arizona,12,1742,births_hs
Arkansas,1,1002,births_hs
Arkansas,2,919,births_hs
Arkansas,3,971,births_hs
Arkansas,4,934,births_hs
Arkansas,5,921,births_hs
Arkansas,6,941,births_hs
Arkansas,7,1060,births_hs
Arkansas,8,1057,births_hs
Arkansas,9,1074,births_hs
Arkansas,10,1006,births_hs
Arkansas,11,953,births_hs
Arkansas,12,1009,births_hs
California,1,8459,births_hs
California,2,7701,births_hs
California,3,8008,births_hs
California,4,7682,births_hs
California,5,8084,births_hs
California,6,8194,births_hs
California,7,8757,births_hs
California,8,9034,births_hs
California,9,8842,births_hs
California,10,8616,births_hs
California,11,8104,births_hs
California,12,8178,births_hs
Colorado,1,1070,births_hs
Colorado,2,986,births_hs
Colorado,3,1011,births_hs
Colorado,4,1014,births_hs
Colorado,5,1036,births_hs
Colorado,6,1014,births_hs
Colorado,7,1123,births_hs
Colorado,8,1127,births_hs
Colorado,9,1104,births_hs
Colorado,10,1048,births_hs
Colorado,11,1037,births_hs
Colorado,12,961,births_hs
Connecticut,1,589,births_hs
Connecticut,2,465,births_hs
Connecticut,3,533,births_hs
Connecticut,4,539,births_hs
Connecticut,5,561,births_hs
Connecticut,6,530,births_hs
Connecticut,7,589,births_hs
Connecticut,8,583,births_hs
Connecticut,9,545,births_hs
Connecticut,10,542,births_hs
Connecticut,11,517,births_hs
Connecticut,12,563,births_hs
Delaware,1,237,births_hs
Delaware,2,184,births_hs
Delaware,3,201,births_hs
Delaware,4,212,births_hs
Delaware,5,242,births_hs
Delaware,6,242,births_hs
Delaware,7,253,births_hs
Delaware,8,249,births_hs
Delaware,9,249,births_hs
Delaware,10,259,births_hs
Delaware,11,220,births_hs
Delaware,12,250,births_hs
District of Columbia,1,158,births_hs
District of Columbia,2,147,births_hs
District of Columbia,3,159,births_hs
District of Columbia,4,137,births_hs
District of Columbia,5,128,births_hs
District of Columbia,6,163,births_hs
District of Columbia,7,163,births_hs
District of Columbia,8,146,births_hs
District of Columbia,9,157,births_hs
District of Columbia,10,130,births_hs
District of Columbia,11,148,births_hs
District of Columbia,12,157,births_hs
Florida,1,5636,births_hs
Florida,2,5239,births_hs
Florida,3,5165,births_hs
Florida,4,4989,births_hs
Florida,5,5169,births_hs
Florida,6,5271,births_hs
Florida,7,5588,births_hs
Florida,8,5661,births_hs
Florida,9,5734,births_hs
Florida,10,5636,births_hs
Florida,11,5406,births_hs
Florida,12,5582,births_hs
Georgia,1,3438,births_hs
Georgia,2,2952,births_hs
Georgia,3,3159,births_hs
Georgia,4,3172,births_hs
Georgia,5,3227,births_hs
Georgia,6,3271,births_hs
Georgia,7,3519,births_hs
Georgia,8,3712,births_hs
Georgia,9,3516,births_hs
Georgia,10,3323,births_hs
Georgia,11,3067,births_hs
Georgia,12,3262,births_hs
Hawaii,1,244,births_hs
Hawaii,2,224,births_hs
Hawaii,3,219,births_hs
Hawaii,4,229,births_hs
Hawaii,5,254,births_hs
Hawaii,6,226,births_hs
Hawaii,7,208,births_hs
Hawaii,8,251,births_hs
Hawaii,9,234,births_hs
Hawaii,10,215,births_hs
Hawaii,11,264,births_hs
Hawaii,12,223,births_hs
Idaho,1,449,births_hs
Idaho,2,402,births_hs
Idaho,3,471,births_hs
Idaho,4,454,births_hs
Idaho,5,476,births_hs
Idaho,6,427,births_hs
Idaho,7,512,births_hs
Idaho,8,481,births_hs
Idaho,9,464,births_hs
Idaho,10,418,births_hs
Idaho,11,395,births_hs
Idaho,12,439,births_hs
Illinois,1,2638,births_hs
Illinois,2,2420,births_hs
Illinois,3,2580,births_hs
Illinois,4,2456,births_hs
Illinois,5,2570,births_hs
Illinois,6,2536,births_hs
