state,month,births,education
Alabama,1,1331,births_somecoll
Alabama,2,1144,births_somecoll
Alabama,3,1210,births_somecoll
Alabama,4,1185,births_somecoll
Alabama,5,1247,births_somecoll
Alabama,6,1152,births_somecoll
Alabama,7,1303,births_somecoll
Alabama,8,1355,births_somecoll
Alabama,9,1239,births_somecoll
Alabama,10,1283,births_somecoll
Alabama,11,1154,births_somecoll
Alabama,12,1281,births_somecoll
Alaska,1,237,births_somecoll
Alaska,2,248,births_somecoll
Alaska,3,221,births_somecoll
Alaska,4,220,births_somecoll
Alaska,5,243,births_somecoll
Alaska,6,218,births_somecoll
Alaska,7,255,births_somecoll
Alaska,8,227,births_somecoll
Alaska,9,228,births_somecoll
Alaska,10,215,births_somecoll
Alaska,11,204,births_somecoll
Alaska,12,217,births_somecoll
Arizona,1,1782,births_somecoll
Arizona,2,1698,births_somecoll
Arizona,3,1883,births_somecoll
Arizona,4,1676,births_somecoll
Arizona,5,1647,births_somecoll
Arizona,6,1657,births_somecoll
Arizona,7,1831,births_somecoll
Arizona,8,1924,births_somecoll
Arizona,9,1866,births_somecoll
Arizona,10,1899,births_somecoll
Arizona,11,1864,births_somecoll
Arizona,12,1819,births_somecoll
Arkansas,1,777,births_somecoll
Arkansas,2,755,births_somecoll
Arkansas,3,784,births_somecoll
Arkansas,4,727,births_somecoll
Arkansas,5,773,births_somecoll
Arkansas,6,761,births_somecoll
Arkansas,7,829,births_somecoll
Arkansas,8,871,births_somecoll
Arkansas,9,849,births_somecoll
Arkansas,10,781,births_somecoll
Arkansas,11,726,births_somecoll
Arkansas,12,860,births_somecoll
California,1,7516,births_somecoll
California,2,7148,births_somecoll
California,3,7514,births_somecoll
California,4,7170,births_somecoll
California,5,7392,births_somecoll
California,6,7312,births_somecoll
California,7,7883,births_somecoll
California,8,8232,births_somecoll
California,9,7834,births_somecoll
California,10,7976,births_somecoll
California,11,7361,births_somecoll
California,12,7612,births_somecoll
Colorado,1,1258,births_somecoll
Colorado,2,1191,births_somecoll
Colorado,3,1263,births_somecoll
Colorado,4,1232,births_somecoll
Colorado,5,1338,births_somecoll
Colorado,6,1233,births_somecoll
Colorado,7,1296,births_somecoll
Colorado,8,1396,births_somecoll
Colorado,9,1261,births_somecoll
Colorado,10,1270,births_somecoll
Colorado,11,1309,births_somecoll
Colorado,12,1261,births_somecoll
Connecticut,1,625,births_somecoll
Connecticut,2,625,births_somecoll
Connecticut,3,613,births_somecoll
Connecticut,4,601,births_somecoll
Connecticut,5,681,births_somecoll
Connecticut,6,610,births_somecoll
Connecticut,7,693,births_somecoll
Connecticut,8,652,births_somecoll
Connecticut,9,604,births_somecoll
Connecticut,10,622,births_somecoll
Connecticut,11,575,births_somecoll
Connecticut,12,663,births_somecoll
Delaware,1,197,births_somecoll
Delaware,2,162,births_somecoll
Delaware,3,192,births_somecoll
Delaware,4,214,births_somecoll
Delaware,5,202,births_somecoll
Delaware,6,204,births_somecoll
Delaware,7,221,births_somecoll
Delaware,8,219,births_somecoll
Delaware,9,212,births_somecoll
Delaware,10,206,births_somecoll
Delaware,11,205,births_somecoll
Delaware,12,180,births_somecoll
District of Columbia,1,97,births_somecoll
District of Columbia,2,105,births_somecoll
District of Columbia,3,92,births_somecoll
District of Columbia,4,80,births_somecoll
District of Columbia,5,60,births_somecoll
District of Columbia,6,78,births_somecoll
District of Columbia,7,98,births_somecoll
District of Columbia,8,110,births_somecoll
District of Columbia,9,87,births_somecoll
District of Columbia,10,80,births_somecoll
District of Columbia,11,96,births_somecoll
District of Columbia,12,72,births_somecoll
Florida,1,4630,births_somecoll
Florida,2,4521,births_somecoll
Florida,3,4601,births_somecoll
Florida,4,4329,births_somecoll
Florida,5,4537,births_somecoll
Florida,6,4101,births_somecoll
Florida,7,4144,births_somecoll
Florida,8,4973,births_somecoll
Florida,9,4770,births_somecoll
Florida,10,4860,births_somecoll
Florida,11,4648,births_somecoll
Florida,12,4834,births_somecoll
Georgia,1,2366,births_somecoll
Georgia,2,2266,births_somecoll
Georgia,3,2260,births_somecoll
Georgia,4,2190,births_somecoll
Georgia,5,2341,births_somecoll
Georgia,6,2143,births_somecoll
Georgia,7,2461,births_somecoll
Georgia,8,2526,births_somecoll
Georgia,9,2285,births_somecoll
Georgia,10,2312,births_somecoll
Georgia,11,2340,births_somecoll
Georgia,12,2459,births_somecoll
Hawaii,1,326,births_somecoll
Hawaii,2,345,births_somecoll
Hawaii,3,363,births_somecoll
Hawaii,4,374,births_somecoll
Hawaii,5,348,births_somecoll
Hawaii,6,347,births_somecoll
Hawaii,7,359,births_somecoll
Hawaii,8,344,births_somecoll
Hawaii,9,372,births_somecoll
Hawaii,10,389,births_somecoll
Hawaii,11,367,births_somecoll
Hawaii,12,326,births_somecoll
Idaho,1,594,births_somecoll
Idaho,2,557,births_somecoll
Idaho,3,587,births_somecoll
Idaho,4,651,births_somecoll
Idaho,5,721,births_somecoll
Idaho,6,635,births_somecoll
Idaho,7,632,births_somecoll
Idaho,8,655,births_somecoll
Idaho,9,674,births_somecoll
Idaho,10,615,births_somecoll
Idaho,11,585,births_somecoll
Idaho,12,571,births_somecoll
Illinois,1,2451,births_somecoll
Illinois,2,2289,births_somecoll
Illinois,3,2432,births_somecoll
Illinois,4,2446,births_somecoll
Illinois,5,2545,births_somecoll
Illinois,6,2481,births_somecoll
Illinois,7,2761,births_somecoll
Illinois,8,2680,births_somecoll
Illinois,9,2536,births_somecoll
Illinois,10,2557,births_somecoll
Illinois,11,2325,births_somecoll
Illinois,12,2450,births_somecoll
Indiana,1,1521,births_somecoll
Indiana,2,1480,births_somecoll
Indiana,3,1513,births_somecoll
Indiana,4,1513,births_somecoll
Indiana,5,1553,births_somecoll
Indiana,6,1571,births_somecoll
Indiana,7,1698,births_somecoll
Indiana,8,1607,births_somecoll
Indiana,9,1586,births_somecoll
Indiana,10,1518,births_somecoll
Indiana,11,1358,births_somecoll
Indiana,12,1593,births_somecoll
Iowa,1,759,births_somecoll
Iowa,2,689,births_somecoll
Iowa,3,791,births_somecoll
Iowa,4,758,births_somecoll
Iowa,5,781,births_somecoll
Iowa,6,768,births_somecoll
Iowa,7,830,births_somecoll
Iowa,8,785,births_somecoll
Iowa,9,765,births_somecoll
Iowa,10,795,births_somecoll
Iowa,11,709,births_somecoll
Iowa,12,749,births_somecoll
Kansas,1,780,births_somecoll
Kansas,2,688,births_somecoll
Kansas,3,720,births_somecoll
Kansas,4,698,births_somecoll
Kansas,5,714,births_somecoll
Kansas,6,685,births_somecoll
Kansas,7,774,births_somecoll
Kansas,8,799,births_somecoll
Kansas,9,754,births_somecoll
Kansas,10,761,births_somecoll
Kansas,11,662,births_somecoll
Kansas,12,736,births_somecoll
Kentucky,1,1219,births_somecoll
Kentucky,2,1127,births_somecoll
Kentucky,3,1162,births_somecoll
Kentucky,4,1104,births_somecoll
Kentucky,5,1207,births_somecoll
Kentucky,6,1130,births_somecoll
Kentucky,7,1281,births_somecoll
Kentucky,8,1275,births_somecoll
Kentucky,9,1191,births_somecoll
Kentucky,10,1246,births_somecoll
Kentucky,11,1079,births_somecoll
Kentucky,12,1155,births_somecoll
Louisiana,1,1065,births_somecoll
Louisiana,2,1046,births_somecoll
Louisiana,3,1109,births_somecoll
Louisiana,4,1040,births_somecoll
Louisiana,5,1027,births_somecoll
Louisiana,6,993,births_somecoll
Louisiana,7,1218,births_somecoll
Louisiana,8,1159,births_somecoll
Louisiana,9,1158,births_somecoll
Louisiana,10,1161,births_somecoll
Louisiana,11,1058,births_somecoll
Louisiana,12,961,births_somecoll
Maine,1,240,births_somecoll
Maine,2,256,births_somecoll
Maine,3,258,births_somecoll
Maine,4,242,births_somecoll
Maine,5,250,births_somecoll
Maine,6,238,births_somecoll
Maine,7,289,births_somecoll
Maine,8,248,births_somecoll
Maine,9,264,births_somecoll
Maine,10,251,births_somecoll
Maine,11,231,births_somecoll
Maine,12,247,births_somecoll
Maryland,1,1222,births_somecoll
Maryland,2,1118,births_somecoll
Maryland,3,1187,births_somecoll
Maryland,4,1110,births_somecoll
Maryland,5,1174,births_somecoll
Maryland,6,1130,births_somecoll
Maryland,7,1266,births_somecoll
Maryland,8,1245,births_somecoll
Maryland,9,1159,births_somecoll
Maryland,10,1175,births_somecoll
Maryland,11,1148,births_somecoll
Maryland,12,1178,births_somecoll
Massachusetts,1,1093,births_somecoll
Massachusetts,2,1031,births_somecoll
Massachusetts,3,1128,births_somecoll
Massachusetts,4,1058,births_somecoll
Massachusetts,5,1140,births_somecoll
Massachusetts,6,1061,births_somecoll
Massachusetts,7,1158,births_somecoll
Massachusetts,8,1163,births_somecoll
Massachusetts,9,1040,births_somecoll
Massachusetts,10,1041,births_somecoll
Massachusetts,11,1071,births_somecoll
Massachusetts,12,1015,births_somecoll
Michigan,1,2271,births_somecoll
Michigan,2,2192,births_somecoll
Michigan,3,2401,births_somecoll
Michigan,4,2399,births_somecoll
Michigan,5,2494,births_somecoll
Michigan,6,2425,births_somecoll
Michigan,7,2495,births_somecoll
Michigan,8,2536,births_somecoll
Michigan,9,2321,births_somecoll
Michigan,10,2441,births_somecoll
Michigan,11,2168,births_somecoll
Michigan,12,2223,births_somecoll
Minnesota,1,1316,births_somecoll
Minnesota,2,1227,births_somecoll
Minnesota,3,1310,births_somecoll
Minnesota,4,1277,births_somecoll
Minnesota,5,1336,births_somecoll
Minnesota,6,1333,births_somecoll
Minnesota,7,1341,births_somecoll
Minnesota,8,1419,births_somecoll
Minnesota,9,1332,births_somecoll
Minnesota,10,1410,births_somecoll
Minnesota,11,1261,births_somecoll
Minnesota,12,1367,births_somecoll
Mississippi,1,923,births_somecoll
Mississippi,2,894,births_somecoll
Mississippi,3,849,births_somecoll
Mississippi,4,742,births_somecoll
Mississippi,5,855,births_somecoll
Mississippi,6,855,births_somecoll
Mississippi,7,979,births_somecoll
Mississippi,8,956,births_somecoll
Mississippi,9,884,births_somecoll
Mississippi,10,931,births_somecoll
Mississippi,11,886,births_somecoll
Mississippi,12,908,births_somecoll
Missouri,1,1613,births_somecoll
Missouri,2,1478,births_somecoll
Missouri,3,1491,births_somecoll
Missouri,4,1428,births_somecoll
Missouri,5,1479,births_somecoll
Missouri,6,1459,births_somecoll
Missouri,7,1624,births_somecoll
Missouri,8,1626,births_somecoll
Missouri,9,1582,births_somecoll
Missouri,10,1540,births_somecoll
Missouri,11,1448,births_somecoll
Missouri,12,1432,births_somecoll
Montana,1,247,births_somecoll
Montana,2,281,births_somecoll
Montana,3,271,births_somecoll
Montana,4,271,births_somecoll
Montana,5,294,births_somecoll
Montana,6,265,births_somecoll
Montana,7,257,births_somecoll
Montana,8,293,births_somecoll
Montana,9,274,births_somecoll
Montana,10,255,births_somecoll
Montana,11,263,births_somecoll
Montana,12,278,births_somecoll
Nebraska,1,581,births_somecoll
Nebraska,2,544,births_somecoll
Nebraska,3,510,births_somecoll
Nebraska,4,557,births_somecoll
Nebraska,5,566,births_somecoll
Nebraska,6,528,births_somecoll
Nebraska,7,628,births_somecoll
Nebraska,8,551,births_somecoll
Nebraska,9,576,births_somecoll
Nebraska,10,602,births_somecoll
Nebraska,11,514,births_somecoll
Nebraska,12,513,births_somecoll
Nevada,1,734,births_somecoll
Nevada,2,677,births_somecoll
Nevada,3,665,births_somecoll
Nevada,4,656,births_somecoll
Nevada,5,689,births_somecoll
