state,month,births_coll,births_hs,births_nohs,births_somecoll
Alabama,1,1262,1660,656,1331
Alabama,2,1217,1437,572,1144
Alabama,3,1243,1553,631,1210
Alabama,4,1327,1534,581,1185
Alabama,5,1269,1501,619,1247
Alabama,6,1243,1564,588,1152
Alabama,7,1337,1703,683,1303
Alabama,8,1387,1680,700,1355
Alabama,9,1299,1648,684,1239
Alabama,10,1422,1537,709,1283
Alabama,11,1182,1521,605,1154
Alabama,12,1328,1659,682,1281
Alaska,1,222,281,49,237
Alaska,2,212,223,54,248
Alaska,3,210,235,61,221
Alaska,4,186,229,52,220
Alaska,5,212,262,60,243
Alaska,6,192,253,57,218
Alaska,7,213,240,57,255
Alaska,8,206,254,78,227
Alaska,9,191,262,70,228
Alaska,10,176,268,37,215
Alaska,11,175,216,63,204
Alaska,12,217,269,39,217
Arizona,1,1887,1859,939,1782
Arizona,2,1840,1678,779,1698
Arizona,3,1944,1645,883,1883
Arizona,4,1763,1633,778,1676
Arizona,5,1885,1638,819,1647
Arizona,6,1724,1598,834,1657
Arizona,7,1920,1814,915,1831
Arizona,8,1926,1804,989,1924
Arizona,9,1971,1880,931,1866
Arizona,10,2049,1855,868,1899
Arizona,11,1958,1697,901,1864
Arizona,12,1915,1742,901,1819
Arkansas,1,724,1002,356,777
Arkansas,2,713,919,325,755
Arkansas,3,756,971,330,784
Arkansas,4,753,934,311,727
Arkansas,5,805,921,308,773
Arkansas,6,693,941,334,761
Arkansas,7,784,1060,364,829
Arkansas,8,820,1057,374,871
Arkansas,9,798,1074,382,849
Arkansas,10,782,1006,318,781
Arkansas,11,717,953,355,726
Arkansas,12,780,1009,360,860
California,1,11379,8459,3007,7516
California,2,11141,7701,2727,7148
California,3,12214,8008,2930,7514
California,4,11765,7682,2654,7170
California,5,11965,8084,2854,7392
California,6,11649,8194,2802,7312
California,7,12640,8757,3019,7883
California,8,13147,9034,3128,8232
California,9,12558,8842,2979,7834
California,10,12949,8616,3035,7976
California,11,11866,8104,2772,7361
California,12,12085,8178,2917,7612
Colorado,1,2202,1070,548,1258
Colorado,2,2206,986,528,1191
Colorado,3,2317,1011,514,1263
Colorado,4,2303,1014,516,1232
Colorado,5,2488,1036,483,1338
Colorado,6,2203,1014,546,1233
Colorado,7,2603,1123,516,1296
Colorado,8,2548,1127,571,1396
Colorado,9,2334,1104,528,1261
Colorado,10,2429,1048,563,1270
Colorado,11,2192,1037,535,1309
Colorado,12,2182,961,520,1261
Connecticut,1,1295,589,258,625
Connecticut,2,1284,465,260,625
Connecticut,3,1426,533,242,613
Connecticut,4,1424,539,230,601
Connecticut,5,1501,561,264,681
Connecticut,6,1356,530,199,610
Connecticut,7,1555,589,273,693
Connecticut,8,1564,583,257,652
Connecticut,9,1407,545,249,604
Connecticut,10,1543,542,251,622
Connecticut,11,1355,517,218,575
Connecticut,12,1269,563,249,663
Delaware,1,283,237,116,197
Delaware,2,266,184,123,162
Delaware,3,272,201,111,192
Delaware,4,304,212,126,214
Delaware,5,283,242,121,202
Delaware,6,300,242,113,204
Delaware,7,312,253,123,221
Delaware,8,355,249,118,219
Delaware,9,309,249,102,212
Delaware,10,299,259,109,206
Delaware,11,280,220,96,205
Delaware,12,270,250,82,180
District of Columbia,1,303,158,84,97
District of Columbia,2,293,147,71,105
District of Columbia,3,329,159,79,92
District of Columbia,4,318,137,81,80
District of Columbia,5,372,128,76,60
District of Columbia,6,338,163,70,78
District of Columbia,7,325,163,76,98
District of Columbia,8,352,146,72,110
