state,month,births,race
Alabama,1,1285,births_nhblack
Alabama,2,1210,births_nhblack
Alabama,3,1189,births_nhblack
Alabama,4,1113,births_nhblack
Alabama,5,1161,births_nhblack
Alabama,6,1184,births_nhblack
Alabama,7,1314,births_nhblack
Alabama,8,1357,births_nhblack
Alabama,9,1168,births_nhblack
Alabama,10,1217,births_nhblack
Alabama,11,1212,births_nhblack
Alabama,12,1215,births_nhblack
Alaska,1,21,births_nhblack
Alaska,2,17,births_nhblack
Alaska,3,16,births_nhblack
Alaska,4,10,births_nhblack
Alaska,5,24,births_nhblack
Alaska,6,13,births_nhblack
Alaska,7,22,births_nhblack
Alaska,8,14,births_nhblack
Alaska,9,17,births_nhblack
Alaska,10,17,births_nhblack
Alaska,11,15,births_nhblack
Alaska,12,19,births_nhblack
Arizona,1,385,births_nhblack
Arizona,2,326,births_nhblack
Arizona,3,376,births_nhblack
Arizona,4,330,births_nhblack
Arizona,5,354,births_nhblack
Arizona,6,354,births_nhblack
Arizona,7,365,births_nhblack
Arizona,8,366,births_nhblack
Arizona,9,369,births_nhblack
Arizona,10,383,births_nhblack
Arizona,11,411,births_nhblack
Arizona,12,374,births_nhblack
Arkansas,1,490,births_nhblack
Arkansas,2,445,births_nhblack
Arkansas,3,461,births_nhblack
Arkansas,4,434,births_nhblack
Arkansas,5,457,births_nhblack
Arkansas,6,441,births_nhblack
Arkansas,7,511,births_nhblack
Arkansas,8,546,births_nhblack
Arkansas,9,506,births_nhblack
Arkansas,10,449,births_nhblack
Arkansas,11,452,births_nhblack
Arkansas,12,504,births_nhblack
California,1,1463,births_nhblack
California,2,1350,births_nhblack
California,3,1492,births_nhblack
California,4,1391,births_nhblack
California,5,1434,births_nhblack
California,6,1433,births_nhblack
California,7,1490,births_nhblack
California,8,1522,births_nhblack
California,9,1500,births_nhblack
California,10,1521,births_nhblack
California,11,1460,births_nhblack
California,12,1497,births_nhblack
Colorado,1,251,births_nhblack
Colorado,2,238,births_nhblack
Colorado,3,243,births_nhblack
Colorado,4,217,births_nhblack
Colorado,5,241,births_nhblack
Colorado,6,237,births_nhblack
Colorado,7,241,births_nhblack
Colorado,8,259,births_nhblack
Colorado,9,268,births_nhblack
Colorado,10,235,births_nhblack
Colorado,11,240,births_nhblack
Colorado,12,249,births_nhblack
Connecticut,1,321,births_nhblack
Connecticut,2,346,births_nhblack
Connecticut,3,321,births_nhblack
Connecticut,4,326,births_nhblack
Connecticut,5,328,births_nhblack
Connecticut,6,289,births_nhblack
Connecticut,7,337,births_nhblack
Connecticut,8,368,births_nhblack
Connecticut,9,340,births_nhblack
Connecticut,10,306,births_nhblack
Connecticut,11,312,births_nhblack
Connecticut,12,323,births_nhblack
Delaware,1,207,births_nhblack
Delaware,2,204,births_nhblack
Delaware,3,217,births_nhblack
Delaware,4,236,births_nhblack
Delaware,5,233,births_nhblack
Delaware,6,246,births_nhblack
Delaware,7,236,births_nhblack
Delaware,8,249,births_nhblack
Delaware,9,206,births_nhblack
Delaware,10,224,births_nhblack
Delaware,11,198,births_nhblack
Delaware,12,194,births_nhblack
District of Columbia,1,290,births_nhblack
District of Columbia,2,256,births_nhblack
District of Columbia,3,265,births_nhblack
District of Columbia,4,238,births_nhblack
District of Columbia,5,247,births_nhblack
District of Columbia,6,250,births_nhblack
District of Columbia,7,281,births_nhblack
District of Columbia,8,306,births_nhblack
District of Columbia,9,271,births_nhblack
District of Columbia,10,259,births_nhblack
District of Columbia,11,253,births_nhblack
District of Columbia,12,232,births_nhblack
Florida,1,3541,births_nhblack
