state,month,births_hisp,births_nhblack,births_nhwhite
Alabama,1,680.0,1285.0,2263.0
Alabama,2,513.0,1210.0,2125.0
Alabama,3,624.0,1189.0,2177.0
Alabama,4,558.0,1113.0,2245.0
Alabama,5,606.0,1161.0,2274.0
Alabama,6,634.0,1184.0,2115.0
Alabama,7,676.0,1314.0,2391.0
Alabama,8,685.0,1357.0,2473.0
Alabama,9,666.0,1168.0,2304.0
Alabama,10,705.0,1217.0,2484.0
Alabama,11,586.0,1212.0,2082.0
Alabama,12,712.0,1215.0,2366.0
Alaska,1,71.0,21.0,288.0
Alaska,2,63.0,17.0,281.0
Alaska,3,70.0,16.0,304.0
Alaska,4,65.0,10.0,270.0
Alaska,5,64.0,24.0,302.0
Alaska,6,53.0,13.0,292.0
Alaska,7,74.0,22.0,301.0
Alaska,8,70.0,14.0,269.0
Alaska,9,84.0,17.0,263.0
Alaska,10,58.0,17.0,272.0
Alaska,11,51.0,15.0,259.0
Alaska,12,64.0,19.0,278.0
Arizona,1,2991.0,385.0,1709.0
Arizona,2,2731.0,326.0,1669.0
Arizona,3,2970.0,376.0,1750.0
Arizona,4,2752.0,330.0,1611.0
Arizona,5,2716.0,354.0,1723.0
Arizona,6,2822.0,354.0,1526.0
Arizona,7,3125.0,365.0,1772.0
Arizona,8,3240.0,366.0,1750.0
Arizona,9,3205.0,369.0,1724.0
Arizona,10,3227.0,383.0,1821.0
Arizona,11,3166.0,411.0,1636.0
Arizona,12,3074.0,374.0,1673.0
Arkansas,1,400.0,490.0,1437.0
Arkansas,2,349.0,445.0,1350.0
Arkansas,3,347.0,461.0,1367.0
Arkansas,4,347.0,434.0,1439.0
Arkansas,5,398.0,457.0,1382.0
Arkansas,6,375.0,441.0,1301.0
Arkansas,7,412.0,511.0,1516.0
Arkansas,8,418.0,546.0,1539.0
Arkansas,9,446.0,506.0,1460.0
Arkansas,10,428.0,449.0,1417.0
Arkansas,11,368.0,452.0,1266.0
Arkansas,12,348.0,504.0,1460.0
California,1,16035.0,1463.0,5911.0
California,2,15128.0,1350.0,5687.0
California,3,15982.0,1492.0,6167.0
California,4,15053.0,1391.0,6122.0
California,5,15832.0,1434.0,6162.0
California,6,15777.0,1433.0,5884.0
California,7,16991.0,1490.0,6298.0
California,8,17904.0,1522.0,6528.0
California,9,17241.0,1500.0,6221.0
California,10,17330.0,1521.0,6352.0
California,11,15747.0,1460.0,5715.0
California,12,16454.0,1497.0,5784.0
Colorado,1,1687.0,251.0,2156.0
Colorado,2,1582.0,238.0,2238.0
Colorado,3,1680.0,243.0,2296.0
Colorado,4,1681.0,217.0,2240.0
Colorado,5,1742.0,241.0,2426.0
Colorado,6,1761.0,237.0,2182.0
Colorado,7,1833.0,241.0,2476.0
Colorado,8,1954.0,259.0,2420.0
Colorado,9,1821.0,268.0,2209.0
Colorado,10,1897.0,235.0,2368.0
Colorado,11,1785.0,240.0,2160.0
Colorado,12,1782.0,249.0,2156.0
Connecticut,1,779.0,321.0,1170.0
Connecticut,2,809.0,346.0,1141.0
Connecticut,3,819.0,321.0,1239.0
Connecticut,4,756.0,326.0,1266.0
Connecticut,5,880.0,328.0,1322.0
Connecticut,6,806.0,289.0,1163.0
Connecticut,7,919.0,337.0,1393.0
Connecticut,8,926.0,368.0,1341.0
Connecticut,9,846.0,340.0,1232.0
Connecticut,10,869.0,306.0,1313.0
Connecticut,11,759.0,312.0,1105.0
Connecticut,12,853.0,323.0,1160.0
Delaware,1,165.0,207.0,271.0
Delaware,2,164.0,204.0,245.0
Delaware,3,161.0,217.0,261.0
Delaware,4,206.0,236.0,261.0
Delaware,5,171.0,233.0,257.0
Delaware,6,187.0,246.0,261.0
Delaware,7,182.0,236.0,280.0
Delaware,8,201.0,249.0,301.0
Delaware,9,207.0,206.0,259.0
Delaware,10,195.0,224.0,263.0
Delaware,11,159.0,198.0,267.0
Delaware,12,160.0,194.0,230.0
District of Columbia,1,107.0,290.0,145.0
District of Columbia,2,105.0,256.0,156.0
District of Columbia,3,119.0,265.0,175.0
District of Columbia,4,120.0,238.0,151.0
District of Columbia,5,121.0,247.0,188.0
District of Columbia,6,105.0,250.0,184.0
District of Columbia,7,103.0,281.0,159.0
District of Columbia,8,132.0,306.0,168.0
District of Columbia,9,122.0,271.0,145.0
District of Columbia,10,113.0,259.0,167.0
District of Columbia,11,137.0,253.0,163.0
District of Columbia,12,101.0,232.0,145.0
Florida,1,6343.0,3541.0,5798.0
Florida,2,6109.0,3434.0,5341.0
Florida,3,6155.0,3488.0,5582.0
Florida,4,6208.0,3187.0,5403.0
Florida,5,6360.0,3272.0,5508.0
Florida,6,6184.0,3290.0,5077.0
Florida,7,6551.0,3650.0,5446.0
Florida,8,7148.0,3840.0,6194.0
Florida,9,6991.0,3813.0,5966.0
Florida,10,7173.0,3864.0,6042.0
Florida,11,6722.0,3578.0,5616.0
Florida,12,7117.0,3882.0,5878.0
Georgia,1,1918.0,3364.0,3316.0
Georgia,2,1830.0,3131.0,3247.0
Georgia,3,1913.0,3193.0,3487.0
Georgia,4,1793.0,3014.0,3456.0
Georgia,5,1934.0,3102.0,3460.0
Georgia,6,1913.0,3131.0,3308.0
Georgia,7,2206.0,3517.0,3592.0
Georgia,8,2153.0,3572.0,3751.0
Georgia,9,2105.0,3252.0,3547.0
Georgia,10,2168.0,3158.0,3658.0
Georgia,11,2030.0,3209.0,3373.0
Georgia,12,2077.0,3451.0,3623.0
Hawaii,1,221.0,20.0,134.0
Hawaii,2,208.0,24.0,147.0
Hawaii,3,211.0,29.0,149.0
